OBJECTID,Neighborhood_2010_FID_BlockG,Neighborhood_2010_STATEFP10,Neighborhood_2010_COUNTYFP10,Neighborhood_2010_TRACTCE10,Neighborhood_2010_BLKGRPCE10,Neighborhood_2010_GEOID10,Neighborhood_2010_NAMELSAD10,Neighborhood_2010_MTFCC10,Neighborhood_2010_FUNCSTAT10,Neighborhood_2010_ALAND10,Neighborhood_2010_AWATER10,Neighborhood_2010_INTPTLAT10,Neighborhood_2010_INTPTLON10,Neighborhood_2010_Shape_Leng,Neighborhood_2010_FID_Neighb,Neighborhood_2010_AREA,Neighborhood_2010_PERIMETER,Neighborhood_2010_NEIGHBOR_,Neighborhood_2010_NEIGHBOR_I,Neighborhood_2010_HOOD,Neighborhood_2010_HOOD_NO,Neighborhood_2010_ACRES,Neighborhood_2010_SQMILES,Neighborhood_2010_DPWDIV,Neighborhood_2010_UNIQUE_ID,Neighborhood_2010_SECTORS,Neighborhood_2010_Shape_Le_1,Neighborhood_2010_Shape_Ar_1,Neighborhood_2010_Page_Number,SNAP_All_csv_Neighborhood,SNAP_All_csv_Sector__,Pop__1940,Pop__1950,Pop__1960,Pop__1970,Pop__1980,Pop__1990,Pop__2000,Pop__2010,F__Pop__Change__60_70,F__Pop__Change__70_80,F__Pop__Change__80_90,F__Pop__Change__90_00,F__Pop__Change__00_10,Pop__as___of_City_total__2010_,Land_Area__sq__mi_,SNAP_All_csv_Land_Area__acres_,Persons___sq__mi__2010_,Persons___sq__mi__2000_,SNAP_All_csv_Persons___acre__20,SNAP_All_csv_Persons___acre__21,SNAP_All_csv___African_American,SNAP_All_csv___Asian__2010_,SNAP_All_csv___Other__2010_,SNAP_All_csv___White__2010_,SNAP_All_csv___2__Races__2010_,SNAP_All_csv___Hispanic__of_any,F__Pop__Age___5__2010_,F__Pop__Age_5_19__2010_,F__Pop__Age_20_34__2010_,F__Pop__Age_35_59__2010_,F__Pop__Age_60_74__2010_,F__Pop__Age___75__2010_,SNAP_All_csv_Total___Units__200,SNAP_All_csv_Total___Units__201,SNAP_All_csv___Occupied_Units__,SNAP_All_csv___Vacant_Units__20,SNAP_All_csv___Occupied_Units_1,SNAP_All_csv___Owner_Occupied_U,SNAP_All_csv___Renter_Occupied_,Est__Avg__Yrs__of_Residence__20,SNAP_All_csv___Living_in_Househ,SNAP_All_csv___Living_in_Group_,SNAP_All_csv___Units_Built_00_0,SNAP_All_csv___Units_Built_90_9,SNAP_All_csv___Units_Built_80_8,SNAP_All_csv___Units_Built_60_7,SNAP_All_csv___Units_Built_40_5,SNAP_All_csv___Units_Built_befo, SNAP_All_csv_Median_Home_Value_ ,Med__Val____00_in__10_Dollars_,SNAP_All_csv_Median_Home__Value,SNAP_All_csv___Change_Real_Valu,SNAP_All_csv_Median_Sale_Price_,SNAP_All_csv___Sales_Counted__2,SNAP_All_csv_Foreclosures__2008,SNAP_All_csv_Foreclosures__2010,SNAP_All_csv___of_all_Housing_U,Total_Age_16__N_hood_Residents_,SNAP_All_csv_Resident_Jobs__Con,SNAP_All_csv_Resident_Jobs__Man,SNAP_All_csv_Resident_Jobs__Ret,SNAP_All_csv_Resident_Jobs__Tra,SNAP_All_csv_Resident_Jobs__Inf,SNAP_All_csv_Resident_Jobs__Fin,SNAP_All_csv_Resident_Jobs__Pro,SNAP_All_csv_Resident_Jobs__Edu,SNAP_All_csv_Resident_Jobs__Art,SNAP_All_csv_Resident_Jobs__Pub,SNAP_All_csv_Resident_Jobs__Oth,Total___Jobs_Located_in_N_hood_,SNAP_All_csv_Jobs_in__Hood__Con,SNAP_All_csv_Jobs_in__Hood__Man,SNAP_All_csv_Jobs_in__Hood__Ret,SNAP_All_csv_Jobs_in__Hood__Tra,SNAP_All_csv_Jobs_in__Hood__Inf,SNAP_All_csv_Jobs_in__Hood__Fin,SNAP_All_csv_Jobs_in__Hood__Pro,SNAP_All_csv_Jobs_in__Hood__Edu,SNAP_All_csv_Jobs_in__Hood__Art,SNAP_All_csv_Jobs_in__Hood__Pub,SNAP_All_csv_Jobs_in__Hood__Oth,SNAP_All_csv_Total_Pop__25_and_,Edu__Attainment__Less_than_High,Edu__Attainment__High_School_Gr,Edu__Attainment__Assoc__Prof__D,Edu__Attainment__Bachelor_s_Deg,Edu__Attainment__Postgraduate_D,SNAP_All_csv_1999_Median_Income,SNAP_All_csv_2009_Median_Income,SNAP_All_csv_1999_Median_Inco_1,F2009_Med__Income___13_Dollars_,Est__Pop__for_which_Poverty_Cal,Est__Pop__Under_Poverty__2010_,Est__Percent_Under_Poverty__201,SNAP_All_csv__Part_1__Major_Cri,SNAP_All_csv__Part_2_Reports__2,SNAP_All_csv__Other_Police_Repo,SNAP_All_csv_Part_1_Crime_per_1,SNAP_All_csv_Part_2_Crime_per_1,SNAP_All_csv__Murder__2010_,SNAP_All_csv__Rape__2010_,SNAP_All_csv__Robbery__2010_,F_Agr__Assault__2010_,SNAP_All_csv__Burglary__2010_,SNAP_All_csv__Auto_Theft__2010_,SNAP_All_csv__Drug_Violations__,SNAP_All_csv_Land_Area__acres1,Approx__Total___Parcels__2010_,Approx__Total___Taxable_Parcels,Approx____of_Structures__2010_,Approx____Unoccupied_Parcels__2,SNAP_All_csv___Good___Excellent,SNAP_All_csv___Average_Conditio,SNAP_All_csv___Poor___Derelict_,F__Residential_Bldg__Permits__2,F__Residential_Bldg__Permits__3,F__Commercial_Bldg__Permits__20,F__Commercial_Bldg__Permits__21,SNAP_All_csv___Code_Violations_,F__of_all_Bldgs__w__Code_Violat,SNAP_All_csv___Condemned_Struct,F__of_all_Bldgs__Condemned__201,SNAP_All_csv___Demolitions__201,F__Tax_Delinquent_Prop___2__yrs,F__of_Taxable_Prop__Delinquent_,SNAP_All_csv_Landslide_Prone___,SNAP_All_csv_Undermined____land,SNAP_All_csv_Flood_Plain____lan,SNAP_All_csv___Street_Trees,SNAP_All_csv_Park_Space__acres_,SNAP_All_csv_Park_Space____of_l,Park_Space__acres_1000_pers__,SNAP_All_csv_Greenway____of_lan,SNAP_All_csv_Woodland____of_lan,SNAP_All_csv_Cemetery____of_lan,SNAP_All_csv_Residential,SNAP_All_csv_Mixed_Use___Commer,SNAP_All_csv_Mixed_Use___Indust,Institutional___Edu____Med_,SNAP_All_csv_Open_Space,SNAP_All_csv_Hillside,SNAP_All_csv_Special_Land_Use,SNAP_All_csv_Miles_of_Major_Roa,SNAP_All_csv_Total_Street_Miles,Street_Density__st__mi_area_sq_,SNAP_All_csv___Sets_of_Steps,SNAP_All_csv___Step_Treads,Res__Permit_Parking_Area_s_,Total_Working_Pop___Age_16____2,SNAP_All_csv_Commute_to_Work__D,SNAP_All_csv_Commute_to_Work__C,SNAP_All_csv_Commute_to_Work__P,SNAP_All_csv_Commute_to_Work__T,SNAP_All_csv_Commute_to_Work__M,SNAP_All_csv_Commute_to_Work__B,SNAP_All_csv_Commute_to_Work__W,SNAP_All_csv_Commute_to_Work__O,SNAP_All_csv_Work_at_Home__2010
1,0,42,3,40500,1,4.20E+11,Block Group 1,G5030,S,268195,0,40.4406805,-79.9542332,7988.379391,62,7843108,11526.863,63,2145,Central Oakland,20,180.883,0.281,3,113,14,11526.86322,7843108.222,,Central Oakland,14,7852,8452,6701,6135,5872,5406,5281,6086,-8.45%,-4.29%,-7.94%,-2.31%,15.24%,1.99%,0.3,179.8,21658.4,18793.6,33.8,29.4,5.27%,8.51%,1.27%,83.04%,1.91%,2.60%,0.60%,12.37%,72.28%,6.72%,3.82%,4.21%,2555,2531,94.20%,5.80%,1970,13.80%,86.20%,0,93.30%,6.70%,0.30%,2.10%,8.30%,26.20%,17.60%,45.30%," 62,100 ","$78,637 ","$144,350 ",83.60%,"$104,940 ",22,1,1,0.00%,2652,2.40%,1.00%,14.30%,1.50%,6.10%,3.10%,4.20%,40.80%,23.00%,2.70%,0.90%,3862,0.80%,1.30%,11.70%,1.30%,1.40%,4.40%,6.00%,47.50%,18.50%,1.40%,5.80%,1075,23.60%,39.50%,3.40%,14.90%,18.50%,14888,16717,19777,18222,4472,2897,64.80%,236,164,139,3.9,2.7,0,1,23,8,66,14,7,179.8,1127,1015,806,64,5.30%,91.50%,3.20%,12,61727,35,14855045,258,32.00%,1,0.10%,3,6,0.60%,10.60%,0.00%,0.00%,237,12.4,6.90%,2,0.00%,3.90%,0.00%,46.20%,1.00%,0.00%,10.30%,16.20%,3.50%,22.70%,1.12,9.5,33.8,7,462,"B, D",2509,16.30%,6.90%,13.30%,0.00%,0.00%,0.00%,62.40%,0.00%,1.20%
2,1,42,3,40400,1,4.20E+11,Block Group 1,G5030,S,75472,0,40.4458408,-79.9483932,3813.620989,40,13904629,20941.387,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.38603,13904629.06,,North Oakland,14,6127,8063,7453,8666,8708,10836,9857,10551,16.28%,0.48%,24.44%,-9.03%,7.04%,3.45%,0.5,319.4,21144.3,19753.5,33,30.9,8.12%,15.23%,1.07%,72.96%,2.62%,2.70%,1.08%,39.80%,37.67%,7.50%,6.72%,7.22%,4003,3761,94.50%,5.50%,3234,29.30%,70.70%,6,56.00%,44.00%,2.60%,1.70%,6.00%,22.80%,27.20%,39.70%," 222,423 ","$281,654 ","$273,000 ",-3.10%,"$145,000 ",61,1,8,0.20%,3512,0.60%,2.10%,10.10%,2.00%,0.30%,2.00%,9.00%,52.20%,16.70%,3.20%,1.80%,18174,0.90%,1.90%,3.30%,0.80%,3.10%,2.40%,5.70%,69.50%,8.80%,1.00%,2.50%,3050,4.30%,23.10%,15.30%,27.40%,29.90%,41532,50004,55171,54504,5077,1989,39.20%,182,136,160,1.7,1.3,0,0,16,7,35,13,12,319.4,1314,1152,525,116,15.40%,81.90%,2.60%,6,55724,37,5549081,51,9.70%,1,0.20%,1,9,0.80%,17.90%,7.30%,0.00%,635,14.6,4.60%,1.4,0.00%,2.10%,0.00%,34.40%,0.00%,6.10%,42.40%,1.40%,8.10%,7.60%,2.45,15,30.1,4,72,"S, Q",3436,20.60%,7.20%,11.50%,0.40%,0.00%,2.90%,52.60%,0.40%,4.40%
3,2,42,3,40200,2,4.20E+11,Block Group 2,G5030,S,282679,0,40.4412437,-79.9626107,8260.915502,61,5999801.5,18271.426,62,2144,West Oakland,88,138.372,0.215,3,21,14,18271.42639,5999801.026,,West Oakland,14,2952,4073,3658,3140,2955,1938,2272,2604,-14.16%,-5.89%,-34.42%,17.23%,14.61%,0.85%,0.2,137.6,12111.6,10567.4,18.9,16.5,38.52%,6.49%,0.50%,52.73%,1.77%,2.30%,1.93%,38.86%,29.38%,17.01%,8.06%,4.76%,638,687,86.50%,13.50%,580,38.40%,61.60%,2,58.90%,41.10%,10.20%,21.90%,0.00%,13.90%,6.90%,47.10%," 47,500 ","$60,149 ","$61,100 ",1.60%,"$66,000 ",17,3,1,0.10%,834,4.30%,0.50%,5.90%,3.40%,0.00%,2.50%,10.70%,45.70%,10.90%,8.20%,8.00%,12895,1.60%,1.30%,1.00%,0.50%,0.30%,0.80%,3.10%,88.30%,1.30%,0.60%,1.30%,1036,12.00%,46.70%,4.10%,20.10%,17.20%,23517,20962,31240,22849,1626,758,46.60%,82,65,80,3.1,2.5,1,1,13,4,14,8,13,137.6,801,540,140,82,0.60%,89.70%,9.70%,8,63786,24,9080856,50,35.70%,1,0.70%,0,92,17.00%,64.50%,19.20%,0.00%,73,1.1,0.80%,0.4,0.00%,13.40%,0.00%,25.50%,3.90%,0.00%,42.10%,0.10%,26.40%,2.00%,1.26,6.49,30.2,6,376,"B, C",834,35.50%,1.00%,22.10%,0.00%,0.00%,0.00%,40.80%,0.70%,0.00%
4,3,42,3,30500,2,4.20E+11,Block Group 2,G5030,S,284548,0,40.4403871,-79.9813476,8670.428122,56,7202139,15696.759,57,2139,Crawford-Roberts,24,166.101,0.258,3,19,15,15696.75923,7202138.923,,Crawford-Roberts,15,17045,17334,10277,5938,3558,2459,2724,2256,-42.22%,-40.08%,-30.89%,10.78%,-17.18%,0.74%,0.3,165.1,8744.2,10558.1,13.7,16.5,82.49%,1.06%,0.71%,13.61%,2.13%,1.40%,2.83%,18.07%,21.04%,30.27%,16.02%,11.77%,1540,1270,90.90%,9.10%,1230,24.50%,75.50%,3,100.00%,0.00%,8.50%,29.00%,7.30%,22.40%,7.80%,25.00%," 70,800 ","$89,654 ","$94,600 ",5.50%,"$11,500 ",28,1,2,0.20%,645,0.00%,4.70%,13.30%,9.00%,5.00%,6.80%,1.70%,43.30%,10.50%,4.20%,1.60%,884,1.10%,2.30%,2.80%,0.50%,2.30%,5.10%,4.00%,42.40%,0.00%,20.40%,19.20%,1312,27.60%,46.00%,5.90%,13.70%,6.80%,13449,14932,17866,16276,2048,988,48.20%,129,197,102,5.7,8.7,0,0,16,10,20,21,90,165.1,1324,784,393,701,27.60%,52.80%,19.60%,32,2749280,9,3345611,65,16.50%,14,3.60%,18,151,19.30%,24.70%,0.70%,0.00%,417,5.3,3.20%,2.4,0.00%,4.80%,0.00%,73.40%,12.50%,0.00%,0.00%,6.10%,0.30%,7.80%,1.57,11.09,43,4,197,W,635,65.40%,9.60%,16.50%,2.00%,0.00%,0.00%,6.50%,0.00%,0.00%
5,5,42,3,20300,1,4.20E+11,Block Group 1,G5030,S,1593129,329216,40.4544996,-79.9812762,24019.53287,27,16947852,23903.078,28,2110,Strip District,80,390.864,0.608,1,23,13,23903.07785,16947852.97,,Strip District,13,4363,3207,1756,965,514,275,266,616,-45.05%,-46.74%,-46.50%,-3.27%,131.58%,0.20%,0.6,389.1,1013.2,437.5,1.6,0.7,15.58%,6.33%,0.16%,75.65%,2.27%,1.60%,0.00%,5.54%,30.28%,36.03%,17.27%,10.87%,195,473,85.20%,14.80%,254,37.00%,63.00%,0,100.00%,0.00%,0.00%,0.00%,5.20%,12.90%,4.50%,77.40%," 215,900 ","$273,394 ","$161,800 ",-40.80%,"$250,000 ",17,0,20,4.20%,277,0.00%,14.80%,6.90%,3.60%,3.20%,15.50%,21.70%,15.90%,5.10%,7.90%,5.40%,11228,12.10%,6.80%,6.10%,9.30%,10.40%,10.90%,13.60%,6.10%,7.90%,3.80%,13.10%,443,8.40%,27.30%,12.40%,33.40%,18.50%,41719,64868,55420,70706,469,10,2.10%,155,167,142,25.2,27.1,0,0,12,14,20,18,38,389.1,809,623,252,246,12.70%,72.20%,15.10%,0,0,24,2574201,12,4.80%,2,0.80%,0,17,2.70%,10.90%,0.00%,54.20%,173,6.6,1.70%,10.6,0.00%,3.10%,0.00%,0.00%,0.00%,71.20%,0.00%,0.20%,10.70%,17.90%,5.16,17.34,28.5,1,65,None,277,53.80%,19.10%,18.10%,0.00%,0.00%,0.00%,0.00%,0.00%,9.00%
6,6,42,3,20100,4,4.20E+11,Block Group 4,G5030,S,281715,0,40.4406777,-79.9892121,7297.919732,57,17846686,23034.955,58,2140,Central Business District,17,411.593,0.64,1,24,16,23034.9547,17846685.49,,Central Business District,16,7864,7517,2211,3679,3220,3785,2721,3629,66.40%,-12.48%,17.55%,-28.11%,33.37%,1.19%,0.6,409.6,5670.3,4251.6,8.9,6.6,15.98%,4.71%,1.96%,74.57%,2.78%,3.30%,0.56%,12.32%,27.77%,32.39%,14.46%,12.50%,1623,2342,81.40%,18.60%,1627,24.00%,76.00%,0,72.70%,27.30%,4.20%,1.80%,3.90%,39.50%,14.80%,35.80%," 59,400 ","$75,218 ","$125,800 ",67.20%,"$240,000 ",99,1,6,0.30%,1610,2.20%,6.60%,6.30%,2.90%,6.60%,12.40%,12.40%,27.50%,13.20%,0.00%,9.80%,95545,3.80%,5.90%,6.70%,3.90%,6.00%,23.00%,23.40%,7.50%,5.90%,8.20%,5.80%,2163,10.90%,44.90%,9.40%,16.10%,18.70%,20500,37475,27232,40848,2405,692,28.80%,789,566,386,21.7,15.6,0,4,55,27,66,20,66,409.6,1588,1351,222,227,32.00%,54.50%,13.50%,0,0,137,61851741,34,15.30%,0,0.00%,1,14,1.00%,0.10%,0.00%,30.50%,694,29.2,7.10%,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,9.10%,0.10%,90.40%,13.55,30.84,48.2,0,0,None,1566,24.80%,5.40%,21.10%,0.00%,0.00%,0.00%,42.00%,0.00%,6.80%
7,7,42,3,262000,1,4.20E+11,Block Group 1,G5030,S,607576,0,40.4632158,-79.994168,12055.42615,15,17550592,18197.82,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.81989,17550591.77,,Spring Hill-City View,1,7833,7178,6389,5275,3803,3288,3040,2648,-17.44%,-27.91%,-13.54%,-7.54%,-12.89%,0.87%,0.6,403.2,4203.2,4825.4,6.6,7.5,28.47%,0.68%,0.38%,67.94%,2.53%,1.60%,11.41%,15.19%,17.28%,33.80%,11.63%,10.68%,1392,1326,87.50%,12.50%,1191,49.70%,50.30%,5,95.60%,4.40%,0.00%,0.00%,8.40%,17.30%,32.90%,41.40%," 43,700 ","$55,337 ","$58,900 ",6.40%,"$11,750 ",42,14,7,0.50%,907,2.80%,6.10%,13.00%,2.20%,0.00%,9.40%,13.00%,34.10%,9.70%,2.80%,7.10%,270,9.30%,0.00%,0.00%,40.70%,0.00%,11.10%,0.00%,38.90%,0.00%,0.00%,0.00%,1900,19.30%,58.70%,7.30%,9.90%,4.80%,20926,21875,27798,23844,2576,869,33.70%,121,173,49,4.6,6.5,0,0,15,15,32,9,52,403.2,1527,1251,1217,405,4.80%,91.30%,4.00%,13,109259,3,34001,45,3.70%,16,1.30%,10,218,17.40%,57.20%,15.80%,0.00%,115,20,5.00%,7.5,9.10%,26.20%,2.70%,40.70%,1.70%,0.00%,0.00%,7.80%,49.70%,0.00%,1.92,15.18,24.1,16,1393,None,899,53.10%,18.20%,14.80%,0.00%,0.00%,6.30%,4.40%,0.00%,3.10%
8,8,42,3,261500,1,4.20E+11,Block Group 1,G5030,S,350522,0,40.4733966,-80.0097343,8208.50481,13,25220622,26399.697,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.69853,25220621.17,,Perry South,2,14666,14462,12382,10385,7355,6303,5276,4145,-16.13%,-29.18%,-14.30%,-16.29%,-21.44%,1.36%,0.9,579.2,4580.1,5829.8,7.2,9.1,68.73%,0.51%,1.25%,26.54%,2.97%,1.10%,3.81%,24.73%,20.95%,32.33%,10.61%,7.57%,2612,2361,76.50%,23.50%,1728,46.90%,53.10%,5,98.20%,1.80%,4.40%,1.50%,7.90%,16.00%,24.80%,45.40%," 44,500 ","$56,350 ","$51,350 ",-8.90%,"$4,798 ",114,36,15,0.60%,1533,3.00%,2.90%,4.70%,4.80%,1.90%,9.80%,12.50%,34.10%,8.60%,8.90%,8.80%,987,5.60%,5.60%,4.10%,0.40%,0.00%,1.40%,4.60%,61.80%,3.00%,1.00%,12.60%,2620,15.40%,63.50%,5.30%,12.40%,3.30%,25910,29797,34419,32478,3828,1418,37.00%,221,310,132,5.3,7.5,2,0,11,29,82,28,87,579.2,3154,2477,1909,1252,5.00%,83.30%,11.80%,28,370466,4,63900,162,8.50%,92,4.80%,34,738,29.80%,31.90%,5.50%,0.00%,303,13,2.20%,3.1,2.20%,13.70%,13.50%,37.70%,1.50%,1.20%,4.20%,16.90%,38.40%,0.00%,3.45,23.12,25.5,29,1783,None,1485,52.70%,10.20%,32.80%,0.00%,0.00%,0.00%,3.60%,0.00%,0.70%
9,10,42,3,261200,1,4.20E+11,Block Group 1,G5030,S,1057787,0,40.4922173,-80.0081121,20906.8295,1,12232021,20910.936,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.93441,12232020.3,,Summer Hill,1,1593,1728,2100,2245,1518,1219,1028,1051,6.90%,-32.38%,-19.70%,-15.67%,2.24%,0.34%,0.4,281,2394.1,2341.7,3.7,3.7,15.22%,0.00%,0.00%,82.40%,2.38%,1.00%,5.94%,11.79%,25.06%,38.91%,9.89%,8.41%,551,510,94.30%,5.70%,539,64.70%,35.30%,5,100.00%,0.00%,0.00%,3.90%,0.00%,23.40%,32.50%,40.30%," 76,100 ","$96,365 ","$94,400 ",-2.00%,"$67,500 ",21,6,0,0.00%,646,12.70%,0.00%,12.20%,9.80%,7.30%,7.30%,0.00%,17.80%,4.00%,25.40%,3.60%,157,0.00%,2.50%,0.00%,2.50%,66.90%,0.00%,2.50%,9.60%,0.00%,0.00%,15.90%,945,3.80%,70.10%,11.30%,13.90%,1.00%,39018,39034,51832,42547,1213,96,7.90%,13,22,13,1.2,2.1,0,0,0,1,2,2,1,281,616,558,534,119,8.40%,90.40%,1.10%,7,81418,2,38000,17,3.20%,1,0.20%,0,29,5.20%,52.80%,2.70%,0.00%,137,0,0.00%,0,0.00%,18.80%,0.00%,50.80%,9.30%,0.00%,0.00%,0.00%,39.90%,0.00%,4.94,12.68,28.9,0,0,None,643,94.60%,2.80%,2.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10,11,42,3,260900,1,4.20E+11,Block Group 1,G5030,S,812036,0,40.4776383,-80.0025945,13757.33203,9,8739570,13813.638,10,2092,Northview Heights,58,201.558,0.313,1,113,1,13813.63754,8739570.228,,Northview Heights,1,662,727,527,4561,3217,2746,2526,1214,765.46%,-29.47%,-14.64%,-8.01%,-51.94%,0.40%,0.3,200.3,3878.6,8070.3,6.1,12.6,90.53%,0.08%,0.41%,4.70%,4.28%,2.10%,19.76%,35.19%,15.17%,15.56%,8.40%,5.91%,879,723,63.60%,36.40%,527,0.00%,100.00%,4,100.00%,0.00%,0.00%,10.50%,2.80%,55.50%,10.10%,21.10%," 29,400 ","$37,229 ",N/A,N/A,"$30,903 ",2,0,1,0.10%,296,0.00%,8.40%,15.50%,0.00%,0.00%,15.20%,13.50%,20.60%,7.10%,14.90%,4.70%,210,0.00%,0.00%,59.50%,0.00%,0.00%,0.00%,0.00%,35.70%,0.00%,0.00%,4.80%,578,24.90%,64.50%,10.60%,0.00%,0.00%,9256,12933,12296,14097,1436,834,58.10%,63,126,30,5.2,10.4,1,0,6,17,16,1,19,200.3,97,50,129,56,n/a,n/a,n/a,0,0,16,1296726,0,0.00%,1,0.80%,0,21,42.00%,38.00%,9.70%,0.00%,7,0,0.00%,0,0.00%,28.80%,0.00%,53.10%,1.00%,3.30%,0.00%,42.50%,0.10%,0.00%,3.16,5.79,18.5,0,0,None,296,8.40%,0.00%,77.40%,0.00%,0.00%,0.00%,5.70%,0.00%,8.40%
